,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
53,1985-52-10130,"Artist/maker unknown, German. After Albrecht Dürer, German, 1471 - 1528.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1538?,Sheet: 5 13/16 x 3 15/16 inches (14.8 x 10 cm),"Made in Germany, Europe",12181,Currently not on view,Engraving,,The Madonna Crowned by Two Angels,http://www.philamuseum.org/collections/permanent/12181.html
54,1990-51-86,"Daido Moriyama, Japanese, born 1938",,"Purchased with funds contributed by the E. Rhodes and Leona B. Carpenter Foundation, 1990","Prints, Drawings, and Photographs",1982,"Image: 7 3/4 x 11 3/4 inches (19.7 x 29.8 cm)
Sheet: 10 × 12 1/8 inches (25.4 × 30.8 cm)","Photograph taken in Japan, Asia",150433,Currently not on view,Gelatin silver print,,"Untitled, from the series Memory of Dog",http://www.philamuseum.org/collections/permanent/150433.html
55,1985-52-39628,"John Saunders, British, c. 1750 - 1825. After Richard Corbould, British, 1757 - 1831. Collaborator R. W. Satchwell, British, active 1793 - 1818. Published by Charles Cooke, British, 1759/1760 - 1816. Published by Dean & Munday, Threadneedle Street, London. Written by Tobias George Smollett, British, 1721 - 1771.",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1809 (1819 edition),Sheet: 5 7/8 x 3 9/16 inches (14.9 x 9.1 cm),"Made in London, England, Europe",116466,Currently not on view,Etching and engraving,"Plate from Thomas Smollett, The Expedition of ",Humphry Clinker,http://www.philamuseum.org/collections/permanent/116466.html
56,2011-162-1,"Leon Golub, American, 1922 - 2004","© Visual Artists and Galleries Assoc., Inc. (VAGA), New York","Gift of Innis Howe Shoemaker in memory of Pamela Hunt Shoemaker, 2011","Prints, Drawings, and Photographs",1949 (printed in 1987),"Image: 13 9/16 x 19 3/4 inches (34.5 x 50.2 cm)
Sheet: 22 1/4 x 29 5/8 inches (56.5 x 75.3 cm)",,320178,Currently not on view,Etching and aquatint (printed in greenish-black ink) with color monotype,,Gestures II,http://www.philamuseum.org/collections/permanent/320178.html
57,1985-61-28,"Charles Pratt, American, 1926 - 1976",,"Gift of Julie Pratt, 1985","Prints, Drawings, and Photographs",1968,Image/Sheet/Mount: 8 7/8 × 13 1/2 inches (22.6 × 34.3 cm),"Photograph taken in New York, New York, United States, North and Central America",81925,Currently not on view,Gelatin silver print,,New York City,http://www.philamuseum.org/collections/permanent/81925.html
58,1945-65-22(196b),"Artist/maker unknown, Indian",,"The Philip S. Collins Collection, gift of Mrs. Philip S. Collins in memory of her husband, 1945",South Asian Art,1743,14 × 10 inches (35.6 × 25.4 cm),"Made in Deccan Region, India, Asia Possibly made in Hyderabad, Telangana, India, Asia",338737,Currently not on view,"Opaque watercolor, gold, and ink on paper",Gulshan-i 'Ishq (Rose Garden of Love),Page of Calligraphy,http://www.philamuseum.org/collections/permanent/338737.html
59,2005-4-7,"Gillinder and Sons, Philadelphia, 1861 - 1930",,"Gift of Christine and Robert Fortune, 2005",American Art,1875-1880,6 1/2 x 3 1/8 inches (16.5 x 7.9 cm),"Made in Philadelphia, Pennsylvania, United States, North and Central America",290877,Currently not on view,Molded glass with frosted deer hunt decoration,,Dessert Service: Large Goblet,http://www.philamuseum.org/collections/permanent/290877.html
60,1933-72-1522,"Rembrandt Harmensz. van Rijn, Dutch (active Leiden and Amsterdam), 1606 - 1669",,"The William S. Pilling Collection, 1933","Prints, Drawings, and Photographs",1631,"Plate: 3 11/16 x 2 5/8 inches (9.4 x 6.6 cm)
Sheet: 3 11/16 x 2 5/8 inches (9.4 x 6.7 cm)","Made in Leiden, Netherlands, Europe",161836,Currently not on view,Etching,,The Artist's Mother with her Hand on her Chest,http://www.philamuseum.org/collections/permanent/161836.html
61,1965-86-9256,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","September 22, 1935",Image and sheet: 9 13/16 × 7 5/8 inches (24.9 × 19.4 cm),"Photograph taken in New York, New York, United States, North and Central America",247849,Currently not on view,Gelatin silver print,,Anna May Wong,http://www.philamuseum.org/collections/permanent/247849.html
62,Cat. 614,"Imitator of Andries Both, Dutch (active Utrecht and Rome), 1612 - 1641",,"John G. Johnson Collection, 1917",European Painting,17th century,9 5/8 x 14 5/8 inches (24.4 x 37.1 cm),"Made in Netherlands, Europe",102413,Currently not on view,Oil on panel,,"Landscape with Cattle, Italy",http://www.philamuseum.org/collections/permanent/102413.html
63,2017-9-11,"Artist/maker unknown, Punjabi",,The Jill and Sheldon Bonovitz Phulkari Collection,Costume and Textiles,20th century,7 feet 9 1/2 inches × 52 1/4 inches (237.5 × 132.7 cm),"Made in Punjab, eastern Punjab, India, Asia",323471,Currently not on view,"Handspun cotton plain weave (khaddar) with silk and cotton embroidery in darning, pattern darning, herringbone, cross, buttonhole, stem, Cretan, and double-line/zigzag stitches",,Darshan Dwar Phulkari,http://www.philamuseum.org/collections/permanent/323471.html
64,1971-114-17,"Calvert Richard Jones, Welsh, 1802 - 1877",,"Purchased with funds contributed by Dorothy Norman, 1971","Prints, Drawings, and Photographs",1845 (negative); printed later,"Image: 6 1/8 × 7 3/8 inches (15.5 × 18.7 cm)
Sheet: 6 1/2 × 7 11/16 inches (16.5 × 19.6 cm)","Photograph taken in England, Europe",144446,Currently not on view,Gelatin silver print from original paper negative,,HMS Superb,http://www.philamuseum.org/collections/permanent/144446.html
65,1989-47-123a--c,"Tsukioka Yoshitoshi, Japanese, 1839 - 1892. Engraved by Hori Kame. Published by Tsunashima Kamekichi, 14 banchi 2 chōme Bakuro-chō, Nihonbashi-ku, Tokyo.",,"Purchased with funds contributed by the E. Rhodes and Leona B. Carpenter Foundation, 1989","Prints, Drawings, and Photographs",1879,Sheet (ōban tate-e triptych): approximately 15 1/2 × 31 1/2 inches (39.4 × 80 cm),"Made in Japan, Asia Period: Meiji Period (1868-1912)",84685,Currently not on view,Color woodcut on three panels (triptych),From the series A Simple Illustrated History of Japan (Dai nippon shiryaku zue),"Yūryaku, the Twenty-Second Emperor, Killing a Boar",http://www.philamuseum.org/collections/permanent/84685.html
66,2010-38-7,"Designed by Howard Carter. Made by Heal's Fabrics Limited, London, founded 1941.",,"Purchased with the Costumes and Textiles Revolving Fund, 2010",Costume and Textiles,1962,5 feet 10 inches × 3 feet 9 1/2 inches (177.8 × 115.6 cm),,312874,Currently not on view,Blue printed cotton textured plain weave,,"Printed Textile ""Sunflower""",http://www.philamuseum.org/collections/permanent/312874.html
67,1958-146-36,"Rockwell Kent, American, 1882 - 1971","© Plattsburgh State Art Museum, State University of New York, USA, Rockwell Kent Collection, Bequest of Sally Kent Gorton, All rights reserved.","Gift of Carl Zigrosser, 1958","Prints, Drawings, and Photographs",1921,Sheet: 22 1/16 x 12 15/16 inches (56 x 32.9 cm),,228256,Currently not on view,Photomechanical metal relief print image with letterpress text on thin tan cardboard (poster),,1689 to 1921: First Retrospective Exhibition of American Art,http://www.philamuseum.org/collections/permanent/228256.html
68,1904-805,"Attributed to Eiraku Hozen, Japanese, 1795 - 1854",,"Bequest of Miss Cornelia Thompson, 1904",East Asian Art,Early 19th century,1 7/16 x 2 1/2 inches (3.7 x 6.4 cm),"Made in Yamashiro (present-day Kyoto Prefecture), Japan, Asia Period: Edo Period (1615-1868)",39304,Currently not on view,Glazed porcelain with overglaze red enamel and gilt decoration,,Sake Cup,http://www.philamuseum.org/collections/permanent/39304.html
69,1985-52-20629,"Hermann Carmiencke, Danish (born Germany, died United States), 1810 - 1867",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1849,"Plate: 7 3/8 x 9 13/16 inches (18.7 x 25 cm)
Sheet: 10 13/16 x 14 3/16 inches (27.5 x 36.1 cm)","Made in Copenhagen, Denmark, Europe",11488,Currently not on view,"Etching and drypoint, with chemical tone","Plate 1 from the album of 16 large landscapes: Raderinger af H. Carmiencke (Part 1. Copenhagen, 1849)","Mill at Silkborg, Denmark",http://www.philamuseum.org/collections/permanent/11488.html
70,1964-90-8,"Attributed to Wang Hui, Chinese, 1632 - 1717/20",,"Gift of Hsiao Shou-ming, 1964",East Asian Art,19th century,27 3/16 × 13 1/4 inches (69 × 33.7 cm),"Made in China, Asia",60271,Currently not on view,"Ink and colors on paper, mounted as a hanging scroll",,Landscape,http://www.philamuseum.org/collections/permanent/60271.html
71,2014-199-262(8),"Artist/maker unknown, Mexican?",,"Gift of Harvey S. Shipley Miller, 2014","Prints, Drawings, and Photographs",c. 1870s,"Image and sheet: 9 1/4 × 7 1/2 inches (23.5 × 19.1 cm)
Mount: 10 3/4 × 8 1/8 inches (27.3 × 20.6 cm)","Photograph taken in Italy, Europe",333662,Currently not on view,Albumen silver print,From an Album of Architectural Views in Italy,Untitled,http://www.philamuseum.org/collections/permanent/333662.html
72,1986-156-168,"Robert Mahon, American, born 1949",,"Gift of John Cage, 1986","Prints, Drawings, and Photographs",1981,"Image and sheet: 5 13/16 × 4 15/16 inches (14.8 × 12.5 cm)
Mount: 18 x 14 inches (45.7 x 35.6 cm)","Made in United States, North and Central America",271323,Currently not on view,Gelatin silver print,From John Cage: A Portrait Series,"Series V, No. 24",http://www.philamuseum.org/collections/permanent/271323.html
73,1876-858,"Artist/maker unknown, German",,"Purchased with Museum funds, 1876",European Decorative Arts and Sculpture,Late 17th - early 18th century,"Height: 8 1/4 inches (21 cm)
Diameter: 5 inches (12.7 cm)","Made in Westerwald Region, Germany, Europe",112600,Currently not on view,Salt-glazed stoneware,,Tankard,http://www.philamuseum.org/collections/permanent/112600.html
74,1985-52-18094,"Louis Marvy, French, 1815 - 1850. After Rembrandt Harmensz. van Rijn, Dutch (active Leiden and Amsterdam), 1606 - 1669.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1843-1844,"Plate: 4 7/16 x 8 7/16 inches (11.2 x 21.4 cm)
Sheet: 10 15/16 x 15 1/16 inches (27.9 x 38.2 cm)","Made in Paris, France, Europe",6391,Currently not on view,"Etching with roulette, scratched tone, and masked plate tone",,Cottages and a Hay Barn on the Diemerdijk with a Flock of Sheep,http://www.philamuseum.org/collections/permanent/6391.html
75,1985-52-27597,"Francesco Bartolozzi, Italian, 1727 - 1815. After Agostino Carlini, Italian, died 1790. Copyist Biagio Rebecca, English, c. 1735 - 1808.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1771,Sheet: 24 13/16 x 16 11/16 inches (63 x 42.4 cm),"Made in London, England, Europe",26224,Currently not on view,Etching and engraving,,Statue of William Beckford,http://www.philamuseum.org/collections/permanent/26224.html
76,1965-86-1775,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","February 3, 1943",Image and sheet: 9 15/16 × 7 5/8 inches (25.2 × 19.4 cm),"Photograph taken in New York, New York, United States, North and Central America",237376,Currently not on view,Gelatin silver print,,Judith Anderson as Olga in The Three Sisters,http://www.philamuseum.org/collections/permanent/237376.html
77,1973-197-185,"Frank Meadow Sutcliffe, British, 1853 - 1941. Printed by Bill Eglon Shaw, British.",,"The Alfred Stieglitz Center Revolving Fund, 1973","Prints, Drawings, and Photographs",Late 19th to early 20th century (negative); 1973 (print),Image and sheet: 15 7/8 × 19 15/16 inches (40.4 × 50.6 cm),"Photograph taken in Whitby, England, Europe",218395,Currently not on view,Gelatin silver print from the original glass negative,,River Esk Between Ruswarp and Sleights Villages,http://www.philamuseum.org/collections/permanent/218395.html
78,1985-52-1595,"Jean Mignon, French, active 1535 - 1555. After Luca Penni, Italian, 1500/04 - 1577.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Mid- to late 16th century,Sheet: 12 5/16 x 16 7/8 inches (31.2 x 42.9 cm),"Made in Fontainebleau, France, Europe",29117,Currently not on view,Etching,,Adam and Eve (Central Scene),http://www.philamuseum.org/collections/permanent/29117.html
79,1942-66-1,"Glenn O. Coleman, American, 1881 - 1932",,"Gift of Mrs. John Wintersteen, 1942",American Art,c. 1910-1915,23 1/2 x 29 7/8 inches (59.7 x 75.9 cm),"Made in New York, New York, United States, North and Central America",47816,Currently not on view,Oil on panel,,"Street Scene, Chinatown, New York City",http://www.philamuseum.org/collections/permanent/47816.html
80,1965-86-9102,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","April 10, 1947",Image and sheet: 9 15/16 × 7 15/16 inches (25.3 × 20.2 cm),"Photograph taken in New York, New York, United States, North and Central America",247691,Currently not on view,Gelatin silver print,,Shirley Weingarten,http://www.philamuseum.org/collections/permanent/247691.html
81,1965-86-1156,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","May 28, 1935",Image and sheet: 14 × 10 7/8 inches (35.5 × 27.7 cm),"Photograph taken in Spain, Europe",236068,Currently not on view,Gelatin silver print,,"Street in Seville, Spain",http://www.philamuseum.org/collections/permanent/236068.html
82,1954-85-118,"Made by Joseph Long Lehn, American, 1798 - 1892",,"Titus C. Geesey Collection, 1954",American Art,1860-1880,1 5/8 x 1 3/8 inches (4.1 x 3.5 cm),"Made in Elizabethtown Township, Lancaster County, Pennsylvania, United States, North and Central America",210911,"Gallery 115, American Art, first floor (Johnson Gallery)",Painted maple,,Open Salt Cellar,http://www.philamuseum.org/collections/permanent/210911.html
83,1985-52-19827,"Johann Friedrich Greuter, German (active Italy), c. 1590 - 1662. After Pietro da Cortona (Pietro Berrettini), Italian, 1596 - 1669.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1646,"Plate: 12 3/16 x 8 7/8 inches (31 x 22.5 cm)
Sheet: 12 9/16 x 9 1/8 inches (31.9 x 23.1 cm)","Made in Rome, Italy, Europe",10796,Currently not on view,Engraving,,"Hercules Having Slain the Dragon, Honored by the Hesperides",http://www.philamuseum.org/collections/permanent/10796.html
